geoid,geoid_str,load
060014364041,"1 (Tract 4364.04, Alameda, CA)",138.5600001335142
060014365001,"1 (Tract 4365, Alameda, CA)",50.16000089645388
060014366011,"1 (Tract 4366.01, Alameda, CA)",71.44000205993653
060014366021,"1 (Tract 4366.02, Alameda, CA)",80.44000344276424
060014367001,"1 (Tract 4367, Alameda, CA)",199.22400228977187
060014368001,"1 (Tract 4368, Alameda, CA)",146.35199555158607
060014369001,"1 (Tract 4369, Alameda, CA)",91.56000113487245
060014370001,"1 (Tract 4370, Alameda, CA)",118.68000371456134
060014371011,"1 (Tract 4371.01, Alameda, CA)",384.9280068278326
060014371021,"1 (Tract 4371.02, Alameda, CA)",32.96000118255614
060014372001,"1 (Tract 4372, Alameda, CA)",138.19999985694866
060014373001,"1 (Tract 4373, Alameda, CA)",44.67999916076661
060014374001,"1 (Tract 4374, Alameda, CA)",60.72000112533571
060014375001,"1 (Tract 4375, Alameda, CA)",119.04000172615048
060014376001,"1 (Tract 4376, Alameda, CA)",88.44000091552735
060014377011,"1 (Tract 4377.01, Alameda, CA)",37.040000438690214
060014377021,"1 (Tract 4377.02, Alameda, CA)",119.5600004911423
060014378001,"1 (Tract 4378, Alameda, CA)",132.88000030517563
060014379001,"1 (Tract 4379, Alameda, CA)",87.60000042915345
060014380001,"1 (Tract 4380, Alameda, CA)",90.15999989509578
060014381001,"1 (Tract 4381, Alameda, CA)",237.1600024223324
060014382011,"1 (Tract 4382.01, Alameda, CA)",80.1200025558471
060014382031,"1 (Tract 4382.03, Alameda, CA)",100.1440039873122
060014382041,"1 (Tract 4382.04, Alameda, CA)",105.04000263214093
060014383001,"1 (Tract 4383, Alameda, CA)",98.48000321388241
060014384001,"1 (Tract 4384, Alameda, CA)",144.44000051021567
060014401001,"1 (Tract 4401, Alameda, CA)",152.88000099658956
060014402001,"1 (Tract 4402, Alameda, CA)",133.00000464916215
060014403011,"1 (Tract 4403.01, Alameda, CA)",105.80000138282765
060014403041,"1 (Tract 4403.04, Alameda, CA)",36.28000280857083
060014403051,"1 (Tract 4403.05, Alameda, CA)",143.0400009155271
060014403061,"1 (Tract 4403.06, Alameda, CA)",151.32000067234014
060014403071,"1 (Tract 4403.07, Alameda, CA)",164.44000296592688
060014403081,"1 (Tract 4403.08, Alameda, CA)",76.10400106906884
060014403311,"1 (Tract 4403.31, Alameda, CA)",184.29600577354415
060014403321,"1 (Tract 4403.32, Alameda, CA)",137.44000768661482
060014403331,"1 (Tract 4403.33, Alameda, CA)",113.48000302314749
060014403341,"1 (Tract 4403.34, Alameda, CA)",116.36000299453713
060014403361,"1 (Tract 4403.36, Alameda, CA)",120.55999988317481
060014403371,"1 (Tract 4403.37, Alameda, CA)",266.05600075721816
060014403381,"1 (Tract 4403.38, Alameda, CA)",157.51200164556496
060014411001,"1 (Tract 4411, Alameda, CA)",781.9200118720564
060014412001,"1 (Tract 4412, Alameda, CA)",346.0720049262043
060014413011,"1 (Tract 4413.01, Alameda, CA)",429.6960084557529
