node,additional_capacity_kW,original_demand_kW,upgraded
060014433011,1050.648,783.960000133515,True
060014322002,1018.88,509.4400041818617,True
060014339002,587.904,587.9040029525754,True
060014515041,3706.2201,5099.960060164337,True
060014099001,804.56,402.28000030517575,True
060014237003,438.72002,219.36000909805296,True
060014442003,2904.464,2904.4640115857187,True
060014423023,1002.0839,845.0880333781239,True
060014423012,1438.976,719.4880233764645,True
060014059013,722.17601,361.08800439834584,True
060014086003,751.36001,751.3600084304809,True
060014416021,2710.4,1355.2000136375448,True
060014308003,3224.2992,2583.39200701714,True
060014334006,1091.904,545.9520219802852,True
060014059021,1388.416,694.2079942703243,True
060014419243,1325.0894,787.2320150375361,True
060014091001,1069.24,1069.2400045394904,True
060014507014,1325.088,1325.088027918342,True
060014351033,1059.296,1059.296003055575,True
060014431021,570.40001,570.4000097274777,True
060014231004,842.02399,433.5040010452269,True
060014418001,993.33602,993.3360165119163,True
060014517031,1396.96,1396.9600038528472,True
060014077001,1288.832,644.4160145878791,True
060014063002,546.56002,546.5600202560422,True
060014057001,682.65602,682.6560153007504,True
060014331021,4119.1911,2819.936015337711,True
060014044002,800.64001,800.6400101661688,True
060014358001,2995.72,1497.8599972248085,True
060014097002,1361.6696,1078.2080099463462,True
060014022001,497.60001,497.60001029968237,True
060014444001,1034.576,1034.57600684166,True
060014051002,314.89601,314.8960107564925,True
060014049002,673.27602,588.9280167579649,True
060014062021,636.38401,636.3840082585808,True
060014229012,1042.3038,521.1518879830836,True
060014096004,1611.136,805.5680193424221,True
060014044001,991.04,991.0400041341799,True
060014364021,2069.9,2069.8999696731594,True
060014003001,932.16002,466.0800117731093,True
060014076005,1867.4583,1266.1920214414592,True
060014515034,641.14401,641.1440059006212,True
060014326011,2694.4,1347.2000119805339,True
060014511041,2447.232,2447.231995511058,True
060014507422,1280.0383,835.4560045242321,True
060014068003,1240.544,755.8080360174173,True
060014336002,2624.6422,1945.7440241694458,True
060014215001,644.64001,644.6400142192838,True
060014366011,728.09603,728.0960270047184,True
060014102001,644.96001,644.9600129127498,True
060014507461,3781.0871,3003.1840223431636,True
060014364034,1716.88,858.440020823478,True
060014100002,1234.848,1234.8480222940473,True
060014324002,1167.1159,2079.020025825504,True
060014321002,1001.344,500.67200117111184,True
060014037011,965.12003,482.56001327037785,True
060014431024,819.47597,966.3040179252647,True
060014403052,1030.4,515.200019216537,True
060014083001,846.08001,846.0800140380862,True
060014420002,566.84,566.8399964094158,True
060014351041,2021.944,2021.9440276980436,True
060014335002,666.17602,333.08801069259624,True
060014425011,1221.92,1221.920001411437,True
060014339004,1322.976,1322.9760082006483,True
060014066012,1215.04,1215.040006583929,True
060014051003,506.01601,372.8960048913953,True
060014415221,460.64,460.6400045871731,True
060014302005,1040.256,1040.2560150146498,True
060014326023,981.88801,490.9440048933027,True
060014371014,9027.22,9027.220029538872,True
060014363012,2056.96,2056.9600320816107,True
060014251012,601.632,601.6320028305055,True
060014403361,2410.048,1205.0240142822258,True
060014515061,318.85186,1315.1680192947415,True
060014333001,1414.328,1414.3280171394385,True
060014507451,3295.3601,1647.6800253868155,True
060014025001,271.4719,304.4160123586655,True
060014383002,786.72,786.7200048446662,True
060014205001,791.92695,455.7440101027488,True
060014311001,1258.752,1258.7520124435428,True
060014076001,1327.552,663.7759877204893,True
060014506013,1061.112,1061.112008583547,True
060014424001,852.128,852.1280046701435,True
060014035022,724.48001,362.2400030136107,True
060014381005,1630.044,1630.0440270423917,True
060014222002,333.61467,244.4800000190735,True
060014069001,623.02401,623.0240061283109,True
060014351021,2306.488,2038.4880267620129,True
060014087005,343.36,171.68000032901767,True
060014336003,910.32402,910.3240183591846,True
060014042002,728.38403,728.3840265274044,True
060014083003,703.096,703.0960028648373,True
060014010004,567.15202,283.5760090827942,True
060014506083,689.02401,689.0240099906924,True
060014442001,721.19998,931.7760110020656,True
060014062023,813.47202,813.4720153212543,True
060014427003,614.20801,614.20801448822,True
060014507431,1200.256,1200.2560036182413,True
060014061002,1306.224,1306.224000763893,True
060014384002,3758.178,3221.25600681305,True
060014514012,6328.3683,3164.1841371297887,True
060014414021,973.46401,973.4640134811417,True
060014007002,59.993159,367.74401884078975,True
060014383001,359.77466,870.3200148105628,True
060014377022,1158.336,579.1680104494092,True
060014097003,601.92001,601.9200060009953,True
060014324003,7683.552,7683.551963496211,True
060014425022,1257.4828,1546.7840171813991,True
060014330003,508.71199,1286.3600043773652,True
060014213003,987.25801,672.4800027132032,True
060014426021,684.8,684.8000026702875,True
060014431052,3441.6,1720.8000220298823,True
060014074002,1319.974,1044.2560198247443,True
060014366023,407.40803,1154.1359957695006,True
060014332001,2816.08,2816.080024707323,True
060014323003,2219.1968,1464.8640237212217,True
060014334002,501.28,501.2800039291379,True
060014363011,16.959982,1549.5200120329853,True
060014216004,417.21602,208.60800797939302,True
060014361001,643.36003,643.3600313425062,True
060014368001,4534.592,3074.7040469050417,True
060014514041,1045.384,1045.3840116977706,True
060014090001,3636.904,3636.9040326118497,True
060014302004,2084.3052,1312.328009128573,True
060014355001,1160.384,580.1920237779616,True
060014507012,1638.1761,819.0880433082577,True
060014517043,782.17602,782.1760185718532,True
060014411001,2278.144,2278.144007873542,True
060014308001,996.896,996.8959980011003,True
060014251031,2106.201,1134.380009961128,True
060014415012,429.83179,1651.7440144538934,True
060014087006,620.83201,620.8320144653317,True
060014369003,692.25601,692.256005859375,True
060014512023,967.10402,967.10401852131,True
060014365002,1787.864,1787.8640171647098,True
060014506072,31.703905,1687.5280237317077,True
060014301012,2110.24,2110.240047788627,True
060014004003,387.23201,387.232005238533,True
060014372005,1504.0,1504.0000112056773,True
060014240014,320.792,320.79200239181523,True
060014055001,703.36001,351.6800037384032,True
060014330002,1323.84,661.919989144802,True
060014013001,2184.3201,1092.1600511193271,True
060014085005,1177.312,1177.3120235681536,True
060014507412,1540.972,1039.2000141143797,True
060014223003,342.464,342.4640034675598,True
060014216002,974.65601,487.32800345420793,True
060014511032,1152.24,1152.2399838924425,True
060014220002,272.75593,4027.155965524912,True
060014335001,1512.9463,767.6160085201271,True
060014074003,879.364,879.364000833034,True
060014332003,774.23996,929.1920116901397,True
060014046001,852.96001,651.5520020484923,True
060014507411,1523.904,1523.9040367841721,True
060014054012,521.344,260.67199996709826,True
060014511042,1692.992,1692.992017579083,True
060014426022,1234.08,1234.080009722713,True
060014091002,552.12801,552.1280056953426,True
